"light","dark","groom","inside","totalt","events","hunts","interactions","smudge","gtype","radio","board","pgame","map","size","crucifix","epermin","ipermin","hpermin","hunttime","huntadjustedtime","huntadjustedipm"
4.16666666666667,6.13333333333333,5.65,8.06666666666667,10.3,5,1,32,1,"spirit","sighting",0,1,"tanglewood","small",0,0.619834710743802,3.10679611650485,0.12396694214876,0.6,9.7,3.29896907216495
4.01666666666667,10.2833333333333,4.46666666666667,11.35,14.3,3,1,45,1,"revenant","noreport",0,1,"grafton","mid",4,0.26431718061674,3.14685314685315,0.440528634361234,0.6,13.7,3.28467153284672
4.78333333333333,9.65,7.31666666666667,11.3166666666667,14.4333333333333,5,1,34,1,"demon","tough",0,1,"ridgeview","mid",4,0.441826215022091,2.35565819861432,0.441826215022091,0.6,13.8333333333333,2.4578313253012
5.81666666666667,13.2,4.03333333333333,13.5833333333333,19.0333333333333,7,1,39,1,"spirit","tough",0,1,"bleasdale","mid",1,0.515337423312883,2.04903677758319,0.147239263803681,0.6,18.4333333333333,2.11573236889693
9.06666666666667,9.4,8.58333333333333,15.9,18.7833333333333,3,1,53,1,"jinn","noreport",0,1,"edgefield","mid",3,0.188679245283019,2.82165039929015,0.251572327044025,0.6,18.1833333333333,2.9147571035747
3.25,8.25,6.78333333333333,9.51666666666667,11.5166666666667,6,1,32,1,"banshee","careful",0,1,"tanglewood","small",4,0.630472854640981,2.77858176555716,0.525394045534151,0.6,10.9166666666667,2.93129770992366
4.85,7.21666666666667,3.58333333333333,7.81666666666667,12.0666666666667,2,0,39,1,"shade","noreport",0,1,"ridgeview","mid",2,0.255863539445629,3.23204419889503,0.255863539445629,0,12.0666666666667,3.23204419889503
4.26666666666667,12.1333333333333,7.91666666666667,13.6833333333333,16.4,9,1,45,1,"spirit","sighting",0,1,"grafton","mid",2,0.657734470158344,2.74390243902439,0.219244823386114,0.6,15.8,2.84810126582278
3.31666666666667,11.9833333333333,6.08333333333333,13.05,15.3,5,2,40,1,"spirit","tough",0,1,"edgefield","mid",0,0.383141762452107,2.61437908496732,0.153256704980843,1.2,14.1,2.83687943262411
3.53333333333333,9.81666666666667,3.38333333333333,10.6666666666667,13.3666666666667,5,2,38,1,"mare","noreport",0,1,"bleasdale","mid",4,0.46875,2.8428927680798,0.5625,1.2,12.1666666666667,3.12328767123288
2.6,8.38333333333333,2.2,8.4,10.9833333333333,2,2,32,0,"spirit","noreport",0,1,"ridgeview","mid",0,0.238095238095238,2.91350531107739,0.238095238095238,1.2,9.78333333333333,3.27086882453152
3.68333333333333,9.4,5.73333333333333,10.4833333333333,13.0833333333333,2,2,33,0,"demon","noreport",1,1,"tanglewood","small",3,0.190779014308426,2.52229299363057,0.476947535771065,1.2,11.8833333333333,2.77699859747546
2.91666666666667,6.58333333333333,3.25,7.48333333333333,9.51666666666667,4,1,28,0,"spirit","tough",1,1,"edgefield","mid",0,0.534521158129176,2.94220665499124,0.133630289532294,0.6,8.91666666666667,3.14018691588785
4.05,3.98333333333333,3.58333333333333,6.25,8.03333333333333,2,0,28,1,"shade","noreport",0,0,"edgefield","mid",0,0.32,3.48547717842324,0,0,8.03333333333333,3.48547717842324
2.48333333333333,4.65,3.85,5.01666666666667,7.15,5,0,27,0,"spirit","violent",0,1,"tanglewood","small",0,0.996677740863787,3.77622377622378,0,0,7.15,3.77622377622378
